epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4873.39,1.95882,2.65523,1.50977,0.5091,0.41148,0.38024,0.18386,1.75959,2.41567,1.41657,0.000474899,0.000474899,0.000474899
2,6030.13,1.82019,1.97016,1.41827,0.51523,0.44394,0.44004,0.21369,1.72253,2.04105,1.38003,0.000919841,0.000919841,0.000919841
3,7173.88,1.78361,1.83406,1.40236,0.6098,0.44765,0.49118,0.24525,1.72425,1.71791,1.37706,0.00133335,0.00133335,0.00133335
4,8342.28,1.75581,1.7369,1.37453,0.563,0.45899,0.49019,0.24856,1.69887,1.71649,1.36432,0.00128753,0.00128753,0.00128753
5,9551.32,1.72814,1.67644,1.37803,0.60579,0.50659,0.54287,0.2738,1.64046,1.6695,1.33559,0.00124037,0.00124037,0.00124037
6,10723,1.69591,1.61876,1.3533,0.64988,0.50029,0.56887,0.29378,1.63394,1.63422,1.32192,0.00119322,0.00119322,0.00119322
7,1331.91,1.69795,1.58316,1.64128,0.62488,0.51648,0.55336,0.28103,1.68749,1.57527,1.35652,0.00114606,0.00114606,0.00114606
8,2664.29,1.67859,1.52252,1.41731,0.6633,0.53784,0.59688,0.30965,1.63391,1.5176,1.31615,0.0010989,0.0010989,0.0010989
9,4100.88,1.65252,1.50114,1.42265,0.66186,0.53579,0.59437,0.3071,1.62223,1.63326,1.32641,0.00105174,0.00105174,0.00105174
10,9572.32,1.64142,1.46533,1.47868,0.67216,0.53205,0.59382,0.31015,1.62611,1.48612,1.32943,0.00100459,0.00100459,0.00100459
